price,market_cap,volume,date
0.028780207207975663,1805401352.9863734,1351820071.5808492,2024-12-20 04:03:56.060
0.027680287373155556,1739923558.18414,1249899585.2712114,2024-12-20 06:03:31.250
0.02789428177109391,1745123720.2744923,1241320743.184247,2024-12-20 07:03:53.403
0.02721934611908312,1710227165.8461037,1188595919.4216135,2024-12-20 08:03:49.394
0.025691489044174155,1638284019.7704663,1153697678.6856632,2024-12-20 09:03:45.756
0.024642057407487775,1567872356.5253346,1160072630.7838411,2024-12-20 10:03:52.682
0.024125186090701287,1511401640.394103,1165200897.0144114,2024-12-20 11:03:52.131
0.02317668013566719,1462781963.198841,1160918100.4222145,2024-12-20 12:03:38.503
0.02453063975882888,1549985170.3180752,1219639155.533181,2024-12-20 13:04:03.423
0.02598658765798658,1635655491.6773305,1266101859.0738,2024-12-20 14:03:19.248
0.02581792661401853,1625535023.2540514,1261946556.4085054,2024-12-20 15:03:57.021
0.02681072150422189,1685543009.7577112,1241770294.3449943,2024-12-20 16:03:51.323
0.02615337042605079,1642574639.3636584,1203789107.7694101,2024-12-20 17:08:29.565
0.027411952957459757,1714144803.9529283,1212785906.556985,2024-12-20 18:03:47.236
0.027281121954679192,1709446764.5660155,1157085193.5370727,2024-12-20 19:01:33.504
0.02765632679805417,1738155716.6266997,1132533468.4319983,2024-12-20 20:03:55.928
0.027659015282592063,1739129066.1743221,1068923579.3732675,2024-12-20 21:03:41.815
0.02752617455399171,1731865045.0497782,1029872605.845731,2024-12-20 22:03:55.443
0.02755230536144999,1733077245.8292782,1003141938.1608276,2024-12-20 23:03:50.766
0.027865175414752516,1751439813.933644,1002219202.5734949,2024-12-21 00:03:50.124
0.028373747463009084,1783851233.5598829,976859284.4166231,2024-12-21 01:03:51.253
0.030497831131315954,1920761853.085586,1043504504.6859645,2024-12-21 02:00:49.421
0.029913142675759178,1880913593.5325172,1024716335.2864764,2024-12-21 03:03:08.854
0.02952629679913511,1855027117.608477,1008666378.0218269,2024-12-21 04:03:51.755
0.02993761375633128,1880821806.591599,1006266390.316005,2024-12-21 05:03:03.880
0.030891414540058146,1943926809.069955,1029430914.745513,2024-12-21 06:00:37.978
0.03170973433985238,1995021200.7301345,1033589085.5778404,2024-12-21 07:03:53.736
0.031157090784795994,1957886580.1596837,1023529634.6769674,2024-12-21 08:03:50.183
0.03063658211359756,1926354820.2191203,957119149.193087,2024-12-21 09:03:49.717
0.030315964485581593,1906671184.7229981,898882027.7957565,2024-12-21 10:03:49.742
0.03006548542797647,1884283144.3703887,840674013.9048532,2024-12-21 11:03:52.001
0.03039550589388741,1907580302.059758,793381802.4296001,2024-12-21 12:08:30.375
0.02993713850626788,1886183213.669559,750024170.4633816,2024-12-21 13:03:15.501
0.029482848817478192,1853303554.5282671,711839764.8634826,2024-12-21 14:03:45.550
0.029193943881377766,1834862875.1199312,691929307.8319952,2024-12-21 15:07:31.304
0.030358163561553346,1906838378.972244,679982734.7597336,2024-12-21 16:03:48.840
0.03017625797641365,1898726944.5783553,685782722.2796654,2024-12-21 17:01:28.250
0.030923745277682053,1948116434.2513463,689386533.491928,2024-12-21 18:03:48.018
0.029521581140059847,1864903120.3411787,673265867.1844282,2024-12-21 19:08:32.654
0.029089718874156133,1824244349.253755,670691918.090603,2024-12-21 20:01:19.433
0.029211475997453388,1838522581.8075874,669919789.5056624,2024-12-21 21:01:19.332
0.02903909533409952,1823073507.6664462,654543682.4264911,2024-12-21 22:01:12.046
0.028733608453725717,1799960785.4910846,651081689.1868482,2024-12-21 23:04:05.675
0.0285645521589105,1794219416.5047793,643660510.3577012,2024-12-22 00:03:48.573
0.027952254702980392,1757816664.1859548,641444350.9908338,2024-12-22 01:00:09.567
0.02710285488438591,1703992222.1478913,592824783.1091022,2024-12-22 02:02:47.450
0.027286766841563326,1722063996.2368782,582946549.6685308,2024-12-22 02:36:47.000
